event_nr,strip,charge,ctime,Subdetector,TDC,time,sector,section,layer,plane
1,52.0,3155.0,0.0,1.0,21.0,20.634197235107422,8.0,1.0,1.0,0.0
1,6.0,3287.0,0.0,1.0,14.0,13.756131172180176,8.0,1.0,1.0,1.0
1,54.0,3321.0,0.0,1.0,22.0,21.616777420043945,8.0,1.0,2.0,0.0
1,36.0,3389.0,0.0,1.0,15.0,14.738712310791016,8.0,1.0,2.0,1.0
1,49.0,3324.0,0.0,2.0,63.0,61.902591705322266,3.0,2.0,1.0,1.0
1,27.0,3387.0,0.0,2.0,61.0,59.93742752075195,3.0,2.0,1.0,2.0
1,28.0,4095.0,0.0,2.0,0.0,0.0,3.0,2.0,1.0,2.0
1,51.0,3484.0,0.0,2.0,66.0,64.85033416748047,3.0,2.0,2.0,1.0
1,28.0,3501.0,0.0,2.0,64.0,62.885169982910156,3.0,2.0,2.0,2.0
1,52.0,3480.0,0.0,2.0,64.0,62.885169982910156,3.0,2.0,3.0,1.0
1,29.0,3523.0,0.0,2.0,62.0,60.92000961303711,3.0,2.0,3.0,2.0
1,54.0,3555.0,0.0,2.0,63.0,61.902591705322266,3.0,2.0,4.0,1.0
1,30.0,3413.0,0.0,2.0,62.0,60.92000961303711,3.0,2.0,4.0,2.0
1,55.0,3502.0,0.0,2.0,66.0,64.85033416748047,3.0,2.0,5.0,1.0
1,31.0,3511.0,0.0,2.0,62.0,60.92000961303711,3.0,2.0,5.0,2.0
1,57.0,3557.0,0.0,2.0,62.0,60.92000961303711,3.0,2.0,6.0,1.0
1,58.0,4095.0,0.0,2.0,0.0,0.0,3.0,2.0,6.0,1.0
1,32.0,3480.0,0.0,2.0,66.0,64.85033416748047,3.0,2.0,6.0,2.0
1,58.0,3520.0,0.0,2.0,63.0,61.902591705322266,3.0,2.0,7.0,1.0
1,59.0,4095.0,0.0,2.0,0.0,0.0,3.0,2.0,7.0,1.0
1,33.0,3493.0,0.0,2.0,62.0,60.92000961303711,3.0,2.0,7.0,2.0
1,60.0,3532.0,0.0,2.0,64.0,62.885169982910156,3.0,2.0,8.0,1.0
1,34.0,3606.0,0.0,2.0,65.0,63.86775207519531,3.0,2.0,8.0,2.0
1,61.0,3533.0,0.0,2.0,63.0,61.902591705322266,3.0,2.0,9.0,1.0
1,35.0,2792.0,0.0,2.0,60.0,58.95484924316406,3.0,2.0,9.0,2.0
1,63.0,3310.0,0.0,2.0,62.0,60.92000961303711,3.0,2.0,10.0,1.0
1,36.0,3497.0,0.0,2.0,63.0,61.902591705322266,3.0,2.0,10.0,2.0
1,65.0,3490.0,0.0,2.0,60.0,58.95484924316406,3.0,2.0,11.0,1.0
1,37.0,3494.0,0.0,2.0,61.0,59.93742752075195,3.0,2.0,11.0,2.0
